Id,Name,GitHub Name,GitHub url,clone url,stars
1,nostra13-Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader.git,
2,JakeWharton-butterknife,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,https://github.com/JakeWharton/butterknife.git,
3,PhilJay-MPAndroidChart,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart.git,
4,bumptech-glide,bumptech/glide,https://github.com/bumptech/glide,https://github.com/bumptech/glide.git,
5,greenrobot-EventBus,greenrobot/EventBus,https://github.com/greenrobot/EventBus,https://github.com/greenrobot/EventBus.git,
6,alibaba-weex,alibaba/weex,https://github.com/alibaba/weex,https://github.com/alibaba/weex.git,
7,google-iosched,google/iosched,https://github.com/google/iosched,https://github.com/google/iosched.git,
8,square-picasso,square/picasso,https://github.com/square/picasso,https://github.com/square/picasso.git,
9,zxing-zxing,zxing/zxing,https://github.com/zxing/zxing,https://github.com/zxing/zxing.git,
10,facebook-fresco,facebook/fresco,https://github.com/facebook/fresco,https://github.com/facebook/fresco.git,
11,ReactiveX-RxAndroid,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid.git,
12,libgdx-libgdx,libgdx/libgdx,https://github.com/libgdx/libgdx,https://github.com/libgdx/libgdx.git,
13,jfeinstein10-SlidingMenu,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu.git,
14,loopj-android-async-http,loopj/android-async-http,https://github.com/loopj/android-async-http,https://github.com/loopj/android-async-http.git,
15,airbnb-lottie-android,airbnb/lottie-android,https://github.com/airbnb/lottie-android,https://github.com/airbnb/lottie-android.git,
16,chrisbanes-PhotoView,chrisbanes/PhotoView,https://github.com/chrisbanes/PhotoView,https://github.com/chrisbanes/PhotoView.git,
17,androidannotations-androidannotations,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,https://github.com/androidannotations/androidannotations.git,
18,afollestad-material-dialogs,afollestad/material-dialogs,https://github.com/afollestad/material-dialogs,https://github.com/afollestad/material-dialogs.git,
19,JakeWharton-ViewPagerIndicator,JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator.git,
20,pockethub-PocketHub,pockethub/PocketHub,https://github.com/pockethub/PocketHub,https://github.com/pockethub/PocketHub.git,
21,lgvalle-Material-Animations,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations.git,
22,nickbutcher-plaid,nickbutcher/plaid,https://github.com/nickbutcher/plaid,https://github.com/nickbutcher/plaid.git,
23,Blankj-AndroidUtilCode,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode.git,
24,navasmdc-MaterialDesignLibrary,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary.git,
25,Tencent-tinker,Tencent/tinker,https://github.com/Tencent/tinker,https://github.com/Tencent/tinker.git,
26,android10-Android-CleanArchitecture,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture.git,
27,HannahMitt-HomeMirror,HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror.git,